iterationName	gameid	time	trialNum	role	block_num	time_in_ms	block	critter	critter_num	species	color	prop1	prop2	tar1	tar2	tar3	internal_prop	eventType
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643378	4	playerA	3	9640	learnCritters	bird	9	daith	#228C22	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643379	4	playerA	3	9640	learnCritters	bird	10	daith	#228C22	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739643379	4	playerA	3	9640	learnCritters	bird	11	daith	#228C22	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646705	4	playerB	3	13247	learnCritters	bug	0	luzak	#228C22	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646705	4	playerB	3	13247	learnCritters	bug	1	thup	#FF8C00	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646706	4	playerB	3	13247	learnCritters	bug	2	blin	#EDCA00	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646706	4	playerB	3	13247	learnCritters	bug	3	blin	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646707	4	playerB	3	13247	learnCritters	bug	4	luzak	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646710	4	playerB	3	13247	learnCritters	bug	5	luzak	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646710	4	playerB	3	13247	learnCritters	bug	6	thup	#FF8C00	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646711	4	playerB	3	13247	learnCritters	bug	7	thup	#FF8C00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646711	4	playerB	3	13247	learnCritters	bug	8	thup	#FF8C00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646711	4	playerB	3	13247	learnCritters	bug	9	blin	#EDCA00	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646800	4	playerB	3	13247	learnCritters	bug	10	blin	#EDCA00	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739646801	4	playerB	3	13247	learnCritters	bug	11	luzak	#228C22	0.8	0.8	true	true	false	0	logTrain
